,store,sido,gungu,store_address,_merge
0,가경동점,충청북도,청주시,충청북도 청주시흥덕구 풍산로 103(복대동),both
1,가마점,충청북도,청주시,"충청북도 청주시서원구 남이면 청남로  1827-25, 1층",both
2,강서점,충청북도,청주시,충청북도 청주시흥덕구 가로수로1154 5-12(강서동),both
3,개신점,충청북도,청주시,충청북도 청주시서원구 장구봉로 130(개신동),both
4,고은점,충청북도,청주시,충청북도 청주시상당구 남일면 단재로 730-1,both
5,과학단지점,충청북도,청주시,충청북도 청주시청원구 오창읍 오창중앙로 94,both
6,미원점,충청북도,청주시,충청북도 청주시상당구 미원면 미원시내2길 19-3,both
7,복대점,충청북도,청주시,충청북도 청주시흥덕구 복대로199번길 3,both
8,봉명동점,충청북도,청주시,충청북도 청주시흥덕구 주현로25번길 20(봉명동),both
9,분평동점,충청북도,청주시,"충청북도 청주시서원구 분평동 청남로2005번길, 27",both
10,사창동점,충청북도,청주시,충청북도 청주시서원구 1순환로  698(사창동),both
11,수곡동점,충청북도,청주시,충청북도 청주시서원구 청남로  2092-1,both
12,영운동점,충청북도,청주시,충청북도 청주시상당구 영운로 34-1(영운동),both
13,우암점,충청북도,청주시,충청북도 청주시상당구 향군로 20(우암점),both
14,율량점,충청북도,청주시,충청북도 청주시청원구 공항로 114,both
15,청주용암점,충청북도,청주시,충청북도 청주시상당구 무농정로3번길 36(용암동),both
16,테크노점,충청북도,청주시,충청북도 청주시흥덕구 송절동 822,both
17,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6,both
18,대신점,경기도,여주시,경기도 여주시 대신면 여양로 1456-4,both
19,산북점,경기도,여주시,경기도 여주시 산북면 상품로 99,both
20,상리점,경기도,여주시,경기도 여주시 여주읍 청심로 232,both
21,여주점,경기도,여주시,경기도 여주시 여흥로 97,both
22,오학점,경기도,여주시,"경기도 여주시 현암2길   28-11, 1층8호",both
23,이포점,경기도,여주시,경기도 여주시 금사면 이포로 60,both
24,가래비점,경기도,양주시,경기도 양주시 광적면 가납리 가래비길 24,both
25,고읍점,경기도,양주시,경기도 양주시 고읍남로39번길 77(광사동),both
26,덕정점,경기도,양주시,경기도 양주시 덕정길 23,both
27,백석점,경기도,양주시,경기도 양주시 백석읍 양주산성로 564-1,both
28,봉암리점,경기도,양주시,경기도 양주시 은현면 은현로 521,both
29,가수원점,대전광역시,서구,대전광역시 서구 가수원동 774-18,both
30,가장점,대전광역시,서구,대전광역시 서구 가장동 40-40,both
31,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),both
32,관저1점,대전광역시,서구,대전광역시 서구 관저동 981 원앙쇼핑109호,both
33,관저2점,대전광역시,서구,대전광역시 서구 관저동 1137-1 구봉5단지상가 103호,both
34,괴정1점,대전광역시,서구,대전광역시 서구 괴정동 130-3,both
35,내동2점,대전광역시,서구,대전광역시 서구 내동 160-19,both
36,대전용문점,대전광역시,서구,대전광역시 서구 괴정동 425-16,both
37,도마점,대전광역시,서구,대전광역시 서구 도마1동 129-30,both
38,둔산1점,대전광역시,서구,대전광역시 서구 둔산동 1809  국화동성@상가 202호,both
39,둔산2점,대전광역시,서구,대전광역시 서구 둔산3동 1972번지,both
40,만년점,대전광역시,서구,대전광역시 서구 만년로16번길 27(만년동),both
41,샘머리점,대전광역시,서구,대전광역시 서구 둔산동 908 상록스토아 306,both
42,정림점,대전광역시,서구,대전광역시 서구 정림동 666번지,both
43,탄방점,대전광역시,서구,대전광역시 서구 탄방동 804,both
44,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",both
45,강서구청점,서울특별시,강서구,"서울특별시 강서구 화곡로51길 7, 1층(화곡동,광성빌딩)",both
46,까치산점,서울특별시,강서구,서울특별시 강서구 화곡8동 342-7 1층 102,both
47,등촌제일점,서울특별시,강서구,서울특별시 강서구 등촌1동 641-12,both
48,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동),both
49,방화1점,서울특별시,강서구,"서울특별시 강서구 양천로11길 8 (방화동, 1층)",both
50,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",both
51,염창동점,서울특별시,강서구,서울특별시 강서구 공항대로65길 51. 1층(염창동),both
52,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",both
53,가오점,대전광역시,동구,대전광역시 동구 가오동 533,both
54,대전터미널점,대전광역시,동구,대전광역시 동구 동서대로1695 106,both
